id,ATL198005260
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1980/05/26
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,palld901
info,ump1b,varge901
info,ump2b,(none)
info,ump3b,fiels901
info,scorer,"SFN, ATL"
info,translator,"Clem Comly"
info,inputter,"David W. Smith"
info,inputtime,1996/10/07 4:10PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,126
info,attendance,5822
info,wp,boggt001
info,lp,mintg001
info,save,bradl101
info,gwrbi,blanl101
id,ATL198005270
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1980/05/27
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,varge901
info,ump1b,fiels901
info,ump2b,grege901
info,ump3b,palld901
info,scorer,"SFN, ATL"
info,translator,"Clem Comly"
info,inputter,"David W. Smith"
info,inputtime,1996/10/07 4:21PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,177
info,attendance,5277
info,wp,mcwil001
info,lp,knepb001
info,save,garbg001
info,gwrbi,murpd001
id,ATL198005280
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1980/05/28
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,fiels901
info,ump1b,grege901
info,ump2b,palld901
info,ump3b,davis901
info,scorer,"SFN, ATL"
info,translator,"Clem Comly"
info,inputter,"David W. Smith"
info,inputtime,1996/10/07 4:30PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,218
info,attendance,5500
info,wp,hraba101
info,lp,laveg001
info,save,
info,gwrbi,chamc001
id,ATL198008080
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1980/08/08
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,varge901
info,ump1b,davis901
info,ump2b,monte901
info,ump3b,palld901
info,scorer,"SF, Atl"
info,translator,"Clem Comly"
info,inputter,"Clem Comly"
info,inputtime,1995/03/29 10:41PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,142
info,attendance,9014
info,wp,mcwil001
info,lp,mintg001
info,save,
info,gwrbi,mattg001
id,ATL198008090
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1980/08/09
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,davis901
info,ump1b,monte901
info,ump2b,palld901
info,ump3b,varge901
info,scorer,"Atl, SF"
info,translator,"Clem Comly"
info,inputter,"Clem Comly"
info,inputtime,1995/03/29 11:22PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,179
info,attendance,17906
info,wp,holla001
info,lp,boggt001
info,save,mintg001
info,gwrbi,clarj001
id,ATL198008100
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1980/08/10
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,monte901
info,ump1b,palld901
info,ump2b,varge901
info,ump3b,davis901
info,scorer,"SF, Atl"
info,translator,"Clem Comly"
info,inputter,"Clem Comly"
info,inputtime,1995/03/29 11:50PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,128
info,attendance,9027
info,wp,niekp001
info,lp,harga001
info,save,campr001
info,gwrbi,roysj001
id,ATL198009260
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1980/09/26
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,varge901
info,ump1b,monte901
info,ump2b,davis901
info,ump3b,fiels901
info,scorer,"SF"
info,translator,"Clem Comly"
info,inputter,"Clem Comly"
info,inputtime,1995/05/09 3:08PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,night
info,timeofgame,135
info,attendance,6578
info,wp,boggt001
info,lp,bluev001
info,save,campr001
info,gwrbi,hornb001
id,CHN198005090
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,SFN
info,hometeam,CHN
info,site,CHI11
info,date,1980/05/09
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,engeb901
info,ump1b,dalej901
info,ump2b,quicj901
info,ump3b,rungp901
info,scorer,"SFN"
info,translator,"Clem Comly"
info,inputter,"David W. Smith"
info,inputtime,1996/09/25 3:22PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
