id,ANA199806300
version,2
info,visteam,SFN
info,hometeam,ANA
info,site,ANA01
info,date,1998/06/30
info,number,0
info,starttime,7:07
info,daynight,night
info,usedh,true
info,umphome,johnm901
info,ump1b,meric901
info,ump2b,mccol901
info,ump3b,evanj901
info,translator,
info,pitches,pitches
info,temp,76
info,winddir,ltor
info,windspeed,5
info,fieldcond,dry
info,precip,none
info,sky,night
info,timeofgame,183
info,attendance,25629
info,wp,finlc001
info,lp,estes001
info,save,perct001
id,ANA199807010
version,2
info,visteam,SFN
info,hometeam,ANA
info,site,ANA01
info,date,1998/07/01
info,number,0
info,starttime,7:37
info,daynight,night
info,usedh,true
info,umphome,meric901
info,ump1b,evanj901
info,ump2b,mccol901
info,ump3b,johnm901
info,translator,
info,pitches,pitches
info,temp,76
info,winddir,ltor
info,windspeed,5
info,fieldcond,dry
info,precip,none
info,sky,night
info,timeofgame,209
info,attendance,24299
info,wp,nen-r001
info,lp,cadag001
info,save,
id,ANA199807020
version,2
info,visteam,SFN
info,hometeam,ANA
info,site,ANA01
info,date,1998/07/02
info,number,0
info,starttime,7:06
info,daynight,night
info,usedh,true
info,umphome,evanj901
info,ump1b,mccol901
info,ump2b,johnm901
info,ump3b,meric901
info,translator,
info,pitches,pitches
info,temp,76
info,winddir,rtol
info,windspeed,7
info,fieldcond,dry
info,precip,none
info,sky,night
info,timeofgame,178
info,attendance,33272
info,wp,ruetk001
info,lp,dickj001
info,save,
id,ARI199804030
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,1998/04/03
info,number,0
info,starttime,7:06
info,daynight,night
info,usedh,false
info,umphome,herna901
info,ump1b,marsr901
info,ump2b,bonig901
info,ump3b,hohnb901
info,translator,
info,pitches,pitches
info,temp,64
info,winddir,torf
info,windspeed,5
info,fieldcond,dry
info,precip,none
info,sky,night
info,timeofgame,163
info,attendance,45590
info,wp,gardm001
info,lp,suppj001
info,save,
id,ARI199804040
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,1998/04/04
info,number,0
