id,ARI201005190
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2010/05/19
info,number,0
info,starttime,6:40PM
info,daynight,night
info,usedh,false
info,umphome,mealj901
info,ump1b,wegnm901
info,ump2b,iassd901
info,ump3b,scotd901
info,howscored,park
info,pitches,pitches
info,temp,89
info,winddir,tolf
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,166
info,attendance,17073
info,wp,kenni001
info,lp,wellt002
info,save,
id,ARI201005200
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2010/05/20
info,number,0
info,starttime,6:40PM
info,daynight,night
info,usedh,false
info,umphome,wegnm901
info,ump1b,iassd901
info,ump2b,scotd901
info,ump3b,mealj901
info,howscored,park
info,pitches,pitches
info,temp,92
info,winddir,torf
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,194
info,attendance,18607
info,wp,heila001
info,lp,affej001
info,save,qualc001
id,ARI201007220
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2010/07/22
info,number,0
info,starttime,6:40PM
info,daynight,night
info,usedh,false
info,umphome,kellj901
info,ump1b,nelsj901
info,ump2b,carlm901
info,ump3b,porta901
info,howscored,park
info,pitches,pitches
info,temp,78
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,147
info,attendance,17230
info,wp,cainm001
info,lp,loper001
info,save,wilsb001
id,ARI201007230
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2010/07/23
info,number,0
info,starttime,6:40PM
info,daynight,night
info,usedh,false
info,umphome,nelsj901
info,ump1b,carlm901
info,ump2b,porta901
info,ump3b,kellj901
info,howscored,park
info,pitches,pitches
info,temp,76
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,225
info,attendance,22512
info,wp,ray-c001
info,lp,jacke001
info,save,wilsb001
id,ARI201007240
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2010/07/24
info,number,0
info,starttime,5:10PM
info,daynight,night
info,usedh,false
info,umphome,carlm901
info,ump1b,porta901
info,ump2b,kellj901
info,ump3b,nelsj901
info,howscored,park
info,pitches,pitches
info,temp,79
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,182
info,attendance,32774
info,wp,bumgm001
info,lp,kenni001
info,save,
id,ARI201007250
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2010/07/25
info,number,0
info,starttime,1:10PM
info,daynight,day
info,usedh,false
info,umphome,porta901
info,ump1b,kellj901
info,ump2b,nelsj901
info,ump3b,carlm901
info,howscored,park
info,pitches,pitches
info,temp,76
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,195
info,attendance,31278
info,wp,romos001
info,lp,vasqe001
info,save,wilsb001
id,ARI201009060
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2010/09/06
info,number,0
info,starttime,1:10PM
info,daynight,day
info,usedh,false
info,umphome,drecb901
info,ump1b,emmep901
info,ump2b,hohnb901
info,ump3b,darlg901
info,howscored,park
info,pitches,pitches
info,temp,75
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,182
info,attendance,31879
info,wp,garcj002
info,lp,heila001
info,save,wilsb001
id,ARI201009070
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2010/09/07
info,number,0
info,starttime,6:40PM
info,daynight,night
info,usedh,false
info,umphome,emmep901
info,ump1b,hohnb901
info,ump2b,darlg901
info,ump3b,drecb901
info,howscored,park
info,pitches,pitches
info,temp,97
info,winddir,fromrf
info,windspeed,8
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,136
info,attendance,19417
info,wp,linct001
info,lp,enrib001
info,save,affej001
id,ARI201009080
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2010/09/08
info,number,0
info,starttime,6:40PM
info,daynight,night
info,usedh,false
info,umphome,hohnb901
info,ump1b,darlg901
info,ump2b,drecb901
info,ump3b,emmep901
info,howscored,park
info,pitches,pitches
info,temp,95
info,winddir,fromrf
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,149
info,attendance,19972
info,wp,hudsd001
info,lp,zitob001
info,save,gutij002
id,ATL201008050
version,2
info,visteam,SFN
info,hometeam,ATL
info,site,ATL02
info,date,2010/08/05
info,number,0
info,starttime,7:11PM
info,daynight,night
info,usedh,false
info,umphome,buckc901
info,ump1b,eddid901
info,ump2b,demud901
info,ump3b,campa902
info,howscored,park
info,pitches,pitches
info,temp,91
info,winddir,rtol
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,157
info,attendance,24538
info,wp,jurrj001
info,lp,linct001
info,save,wagnb001
id,ATL201008060
version,2
info,visteam,SFN
info,hometeam,ATL
info,site,ATL02
info,date,2010/08/06
info,number,0
info,starttime,9:20PM
info,daynight,night
info,usedh,false
info,umphome,eddid901
info,ump1b,demud901
info,ump2b,campa902
info,ump3b,buckc901
info,howscored,park
info,pitches,pitches
info,temp,75
info,winddir,ltor
info,windspeed,6
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,192
info,attendance,42178
info,wp,lopej002
info,lp,moylp001
info,save,wilsb001
id,ATL201008070
version,2
info,visteam,SFN
info,hometeam,ATL
info,site,ATL02
info,date,2010/08/07
info,number,0
info,starttime,7:11PM
info,daynight,night
info,usedh,false
info,umphome,demud901
info,ump1b,campa902
info,ump2b,buckc901
info,ump3b,eddid901
info,howscored,park
info,pitches,pitches
info,temp,89
info,winddir,rtol
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,143
info,attendance,47305
info,wp,hudst001
info,lp,cainm001
info,save,wagnb001
id,ATL201008080
version,2
info,visteam,SFN
info,hometeam,ATL
info,site,ATL02
info,date,2010/08/08
info,number,0
info,starttime,1:37PM
info,daynight,day
info,usedh,false
info,umphome,campa902
info,ump1b,buckc901
info,ump2b,eddid901
info,ump3b,demud901
info,howscored,park
info,pitches,pitches
info,temp,90
info,winddir,rtol
info,windspeed,4
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,179
info,attendance,33865
info,wp,lowed001
info,lp,sancj002
info,save,saitt001
id,CHN201009210
version,2
info,visteam,SFN
info,hometeam,CHN
info,site,CHI11
info,date,2010/09/21
info,number,0
info,starttime,8:16PM
info,daynight,night
info,usedh,false
info,umphome,laynj901
info,ump1b,wintm901
info,ump2b,wendh902
info,ump3b,rungb901
info,howscored,park
info,pitches,pitches
info,temp,70
info,winddir,tocf
info,windspeed,4
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,140
info,attendance,36364
info,wp,ramir003
info,lp,casha001
info,save,wilsb001
id,CHN201009220
version,2
info,visteam,SFN
info,hometeam,CHN
info,site,CHI11
info,date,2010/09/22
info,number,0
info,starttime,7:06PM
info,daynight,night
info,usedh,false
info,umphome,wintm901
info,ump1b,wendh902
info,ump2b,rungb901
info,ump3b,laynj901
info,howscored,park
info,pitches,pitches
info,temp,64
info,winddir,fromrf
info,windspeed,5
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
