id,SFN201304050
version,2
info,visteam,SLN
info,hometeam,SFN
info,site,SFO03
info,date,2013/04/05
info,number,0
info,starttime,1:39PM
info,daynight,day
info,usedh,false
info,umphome,demud901
info,ump1b,herna901
info,ump2b,eddid901
info,ump3b,tumpj901
info,howscored,park
info,pitches,pitches
info,temp,64
info,winddir,tocf
info,windspeed,11
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,151
info,attendance,41581
info,wp,zitob001
info,lp,westj001
info,save,romos001
id,SFN201304060
version,2
info,visteam,SLN
info,hometeam,SFN
info,site,SFO03
info,date,2013/04/06
info,number,0
info,starttime,1:08PM
info,daynight,day
info,usedh,false
info,umphome,herna901
info,ump1b,eddid901
info,ump2b,tumpj901
info,ump3b,demud901
info,howscored,park
info,pitches,pitches
info,temp,59
info,winddir,tocf
info,windspeed,9
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,178
info,attendance,41402
info,wp,mills001
info,lp,voger001
info,save,boggm001
id,SFN201304070
version,2
info,visteam,SLN
info,hometeam,SFN
info,site,SFO03
info,date,2013/04/07
info,number,0
info,starttime,1:40PM
info,daynight,day
info,usedh,false
info,umphome,eddid901
info,ump1b,tumpj901
info,ump2b,demud901
info,ump3b,herna901
info,howscored,park
info,pitches,pitches
info,temp,59
info,winddir,fromrf
info,windspeed,8
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,171
info,attendance,42201
info,wp,waina001
info,lp,cainm001
info,save,
id,SFN201304080
version,2
info,visteam,COL
info,hometeam,SFN
info,site,SFO03
info,date,2013/04/08
info,number,0
info,starttime,7:16PM
info,daynight,night
info,usedh,false
info,umphome,wintm901
info,ump1b,wegnm901
info,ump2b,diazl901
info,ump3b,timmt901
info,howscored,park
info,pitches,pitches
info,temp,58
info,winddir,fromrf
info,windspeed,25
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,172
info,attendance,41133
info,wp,bumgm001
info,lp,delaj001
info,save,romos001
id,SFN201304090
version,2
info,visteam,COL
info,hometeam,SFN
info,site,SFO03
info,date,2013/04/09
info,number,0
info,starttime,7:15PM
info,daynight,night
info,usedh,false
info,umphome,wegnm901
info,ump1b,diazl901
info,ump2b,timmt901
info,ump3b,wintm901
info,howscored,park
info,pitches,pitches
info,temp,64
info,winddir,torf
info,windspeed,11
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,191
info,attendance,41910
info,wp,garcj002
info,lp,belim001
info,save,romos001
id,SFN201304100
version,2
info,visteam,COL
info,hometeam,SFN
info,site,SFO03
info,date,2013/04/10
info,number,0
info,starttime,12:45PM
info,daynight,day
info,usedh,false
info,umphome,diazl901
info,ump1b,timmt901
info,ump2b,wintm901
info,ump3b,wegnm901
info,howscored,park
info,pitches,pitches
info,temp,78
info,winddir,ltor
info,windspeed,3
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,188
info,attendance,41606
info,wp,zitob001
info,lp,franj003
info,save,
id,SFN201304190
version,2
info,visteam,SDN
info,hometeam,SFN
info,site,SFO03
info,date,2013/04/19
info,number,0
info,starttime,7:15PM
info,daynight,night
info,usedh,false
info,umphome,hoyej901
info,ump1b,hirsj901
info,ump2b,davib902
info,ump3b,reynj901
info,howscored,park
info,pitches,pitches
info,temp,62
info,winddir,unknown
info,windspeed,3
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,179
info,attendance,41559
info,wp,garcj002
info,lp,gregl001
info,save,
id,SFN201304200
version,2
info,visteam,SDN
info,hometeam,SFN
info,site,SFO03
info,date,2013/04/20
info,number,0
info,starttime,6:04PM
info,daynight,night
info,usedh,false
info,umphome,hirsj901
info,ump1b,davib902
info,ump2b,reynj901
info,ump3b,hoyej901
info,howscored,park
info,pitches,pitches
info,temp,62
info,winddir,tocf
info,windspeed,11
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,142
info,attendance,41995
info,wp,linct001
info,lp,casha001
info,save,romos001
id,SFN201304210
version,2
info,visteam,SDN
info,hometeam,SFN
info,site,SFO03
info,date,2013/04/21
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,false
info,umphome,davib902
info,ump1b,reynj901
info,ump2b,hoyej901
info,ump3b,hirsj901
info,howscored,park
info,pitches,pitches
info,temp,69
info,winddir,torf
info,windspeed,5
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,148
info,attendance,42747
info,wp,zitob001
info,lp,stule002
info,save,
id,SFN201304220
version,2
info,visteam,ARI
info,hometeam,SFN
info,site,SFO03
info,date,2013/04/22
info,number,0
info,starttime,7:15PM
info,daynight,night
info,usedh,false
info,umphome,eddid901
info,ump1b,tumpj901
info,ump2b,coope901
info,ump3b,herna901
info,howscored,park
info,pitches,pitches
info,temp,65
info,winddir,torf
info,windspeed,8
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,156
info,attendance,41294
info,wp,romos001
info,lp,sippt001
info,save,
id,SFN201304230
version,2
info,visteam,ARI
info,hometeam,SFN
info,site,SFO03
info,date,2013/04/23
info,number,0
info,starttime,7:15PM
info,daynight,night
info,usedh,false
info,umphome,tumpj901
info,ump1b,coope901
info,ump2b,herna901
info,ump3b,eddid901
info,howscored,park
info,pitches,pitches
info,temp,63
info,winddir,tocf
info,windspeed,8
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,202
info,attendance,41955
info,wp,ziegb001
info,lp,garcj002
info,save,reynm002
id,SFN201304240
version,2
info,visteam,ARI
info,hometeam,SFN
info,site,SFO03
info,date,2013/04/24
info,number,0
info,starttime,12:45PM
info,daynight,day
info,usedh,false
info,umphome,coope901
info,ump1b,herna901
