id,SFN199904080
info,visteam,SDN
info,hometeam,SFN
info,date,1999/04/08
info,site,SFO02
info,number,0
info,starttime,1:25PM
info,daynight,day
info,usedh,false
info,umphome,wegnm901
info,ump1b,froeb901
info,ump2b,hirsm901
info,ump3b,rapue901
info,temp,55
info,winddir,torf
info,windspeed,20
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,208
info,attendance,57430
info,wp,estes001
info,lp,spens002
info,save,
id,SFN199904090
info,visteam,SDN
info,hometeam,SFN
info,date,1999/04/09
info,site,SFO02
info,number,0
info,starttime,7:35PM
info,daynight,night
info,usedh,false
info,umphome,froeb901
info,ump1b,hirsm901
info,ump2b,rapue901
info,ump3b,wegnm901
info,temp,54
info,winddir,torf
info,windspeed,21
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,165
info,attendance,15795
info,wp,brocc001
info,lp,clemm001
info,save,
id,SFN199904100
info,visteam,SDN
info,hometeam,SFN
info,date,1999/04/10
info,site,SFO02
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,false
info,umphome,hirsm901
info,ump1b,rapue901
info,ump2b,wegnm901
info,ump3b,froeb901
info,temp,53
info,winddir,tocf
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,169
info,attendance,18331
info,wp,ashba002
info,lp,gardm001
info,save,
id,SFN199904110
info,visteam,SDN
info,hometeam,SFN
info,date,1999/04/11
info,site,SFO02
info,number,0
info,starttime,1:47PM
info,daynight,day
info,usedh,false
info,umphome,rapue901
info,ump1b,wegnm901
info,ump2b,froeb901
info,ump3b,hirsm901
info,temp,54
info,winddir,tolf
info,windspeed,10
info,fieldcond,unknown
info,precip,rain
info,sky,overcast
info,timeofgame,191
info,attendance,22330
info,wp,johnj006
info,lp,river001
info,save,nen-r001
id,SFN199904130
info,visteam,HOU
info,hometeam,SFN
info,date,1999/04/13
info,site,SFO02
info,number,0
info,starttime,7:06PM
info,daynight,night
info,usedh,false
info,umphome,poncl901
info,ump1b,mealj901
info,ump2b,ripps901
info,ump3b,darlg901
info,temp,58
info,winddir,tolf
info,windspeed,12
info,fieldcond,unknown
info,precip,none
info,sky,night
info,timeofgame,200
info,attendance,9425
info,wp,hampm001
info,lp,ortir001
info,save,powej001
id,SFN199904140
info,visteam,HOU
info,hometeam,SFN
info,date,1999/04/14
info,site,SFO02
info,number,0
info,starttime,7:35PM
info,daynight,night
info,usedh,false
info,umphome,mealj901
info,ump1b,ripps901
info,ump2b,darlg901
info,ump3b,poncl901
info,temp,68
info,winddir,tocf
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,night
info,timeofgame,194
info,attendance,11274
info,wp,limaj001
info,lp,estes001
info,save,wagnb001
id,SFN199904150
info,visteam,HOU
info,hometeam,SFN
info,date,1999/04/15
info,site,SFO02
info,number,0
info,starttime,1:06PM
info,daynight,day
info,usedh,false
info,umphome,ripps901
info,ump1b,darlg901
info,ump2b,poncl901
info,ump3b,mealj901
info,temp,83
info,winddir,tocf
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,night
info,timeofgame,176
info,attendance,10819
info,wp,brocc001
info,lp,bergs001
info,save,nen-r001
id,SFN199904190
info,visteam,FLO
info,hometeam,SFN
info,date,1999/04/19
info,site,SFO02
info,number,0
info,starttime,7:08PM
info,daynight,night
info,usedh,false
info,umphome,nelsj901
info,ump1b,pullf901
info,ump2b,willc901
info,ump3b,bonig901
info,temp,61
info,winddir,fromcf
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,179
info,attendance,10474
info,wp,johnj006
info,lp,alfoa001
info,save,nen-r001
id,SFN199904200
info,visteam,FLO
info,hometeam,SFN
info,date,1999/04/20
info,site,SFO02
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,false
info,umphome,pullf901
info,ump1b,willc901
info,ump2b,bonig901
info,ump3b,nelsj901
info,temp,58
info,winddir,torf
info,windspeed,20
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,162
info,attendance,10765
info,wp,meadb001
info,lp,brocc001
info,save,edmob001
id,SFN199904210
info,visteam,FLO
info,hometeam,SFN
info,date,1999/04/21
info,site,SFO02
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,false
info,umphome,willc901
info,ump1b,bonig901
info,ump2b,nelsj901
info,ump3b,pullf901
info,temp,62
info,winddir,torf
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,night
info,timeofgame,141
info,attendance,10249
info,wp,nathj001
info,lp,sprid001
info,save,
id,SFN199904220
info,visteam,COL
info,hometeam,SFN
info,date,1999/04/22
info,site,SFO02
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,false
info,umphome,hohnb901
info,ump1b,schrp901
info,ump2b,tatat901
info,ump3b,hallt901
info,temp,60
info,winddir,ltor
info,windspeed,25
info,fieldcond,unknown
info,precip,none
info,sky,night
info,timeofgame,174
info,attendance,11061
info,wp,bohab001
info,lp,ruetk001
info,save,vered001
id,SFN199904230
info,visteam,COL
