id,SFN201204130
version,2
info,visteam,PIT
info,hometeam,SFN
info,site,SFO03
info,date,2012/04/13
info,number,0
info,starttime,1:35PM
info,daynight,day
info,usedh,false
info,umphome,rungb901
info,ump1b,hudsm901
info,ump2b,mcclt901
info,ump3b,barrt901
info,howscored,park
info,pitches,pitches
info,temp,53
info,winddir,torf
info,windspeed,12
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,130
info,attendance,41138
info,wp,cainm001
info,lp,mcdoj004
info,save,
id,SFN201204140
version,2
info,visteam,PIT
info,hometeam,SFN
info,site,SFO03
info,date,2012/04/14
info,number,0
info,starttime,6:04PM
info,daynight,night
info,usedh,false
info,umphome,hudsm901
info,ump1b,mcclt901
info,ump2b,barrt901
info,ump3b,rungb901
info,howscored,park
info,pitches,pitches
info,temp,54
info,winddir,torf
info,windspeed,11
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,184
info,attendance,41657
info,wp,lopej002
info,lp,resoc001
info,save,
id,SFN201204150
version,2
info,visteam,PIT
info,hometeam,SFN
info,site,SFO03
info,date,2012/04/15
info,number,0
info,starttime,1:07PM
info,daynight,day
info,usedh,false
info,umphome,mcclt901
info,ump1b,barrt901
info,ump2b,rungb901
info,ump3b,hudsm901
info,howscored,park
info,pitches,pitches
info,temp,60
info,winddir,rtol
info,windspeed,9
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,195
info,attendance,41766
info,wp,corrk001
info,lp,voger001
info,save,hanrj001
id,SFN201204160
version,2
info,visteam,PHI
info,hometeam,SFN
info,site,SFO03
info,date,2012/04/16
info,number,0
info,starttime,7:18PM
info,daynight,night
info,usedh,false
info,umphome,fostm901
info,ump1b,timmt901
info,ump2b,kellj901
info,ump3b,coope901
info,howscored,park
info,pitches,pitches
info,temp,55
info,winddir,tocf
info,windspeed,8
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,143
info,attendance,41136
info,wp,hallr001
info,lp,linct001
info,save,papej001
id,SFN201204170
version,2
info,visteam,PHI
info,hometeam,SFN
info,site,SFO03
info,date,2012/04/17
info,number,0
info,starttime,7:15PM
info,daynight,night
info,usedh,false
info,umphome,timmt901
info,ump1b,kellj901
info,ump2b,coope901
info,ump3b,fostm901
info,howscored,park
info,pitches,pitches
info,temp,53
info,winddir,rtol
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,171
info,attendance,41101
info,wp,bumgm001
info,lp,blanj001
info,save,garcj002
id,SFN201204180
version,2
info,visteam,PHI
info,hometeam,SFN
info,site,SFO03
info,date,2012/04/18
info,number,0
info,starttime,7:15PM
info,daynight,night
info,usedh,false
info,umphome,kellj901
info,ump1b,coope901
info,ump2b,fostm901
info,ump3b,timmt901
info,howscored,park
info,pitches,pitches
info,temp,56
info,winddir,torf
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,147
info,attendance,41860
info,wp,hensc002
info,lp,basta001
info,save,
id,SFN201204270
version,2
info,visteam,SDN
info,hometeam,SFN
info,site,SFO03
info,date,2012/04/27
info,number,0
info,starttime,7:16PM
info,daynight,night
info,usedh,false
info,umphome,welkb901
info,ump1b,tscht901
info,ump2b,conrc901
info,ump3b,nelsj901
info,howscored,park
info,pitches,pitches
info,temp,56
info,winddir,tocf
info,windspeed,12
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,177
info,attendance,41908
info,wp,luebc001
info,lp,hacke001
info,save,streh001
id,SFN201204280
version,2
info,visteam,SDN
info,hometeam,SFN
info,site,SFO03
info,date,2012/04/28
info,number,0
info,starttime,6:07PM
info,daynight,night
info,usedh,false
info,umphome,tscht901
info,ump1b,conrc901
