id,SFN197304090
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,SDN
info,hometeam,SFN
info,site,SFO02
info,date,1973/04/09
info,number,0
info,starttime,1:00PM
info,daynight,day
info,usedh,false
info,umphome,mcshj901
info,ump1b,sudoe901
info,ump2b,pelec901
info,ump3b,colon901
info,scorer,"SF,SD"
info,translator,"Comly"
info,inputter,"Comly"
info,inputtime,1996/05/12 9:15PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,144
info,attendance,18560
info,wp,bryar101
info,lp,caldm001
info,save,
info,gwrbi,
id,SFN197304100
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,SDN
info,hometeam,SFN
info,site,SFO02
info,date,1973/04/10
info,number,0
info,starttime,8:00PM
info,daynight,night
info,usedh,false
info,umphome,sudoe901
info,ump1b,pelec901
info,ump2b,colon901
info,ump3b,mcshj901
info,scorer,"SD,SF"
info,translator,"Comly"
info,inputter,"Comly"
info,inputtime,1996/05/12 9:40PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,night
info,timeofgame,140
info,attendance,6098
info,wp,marij101
info,lp,corkm101
info,save,barrj101
info,gwrbi,
id,SFN197304110
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,HOU
info,hometeam,SFN
info,site,SFO02
info,date,1973/04/11
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,pelec901
info,ump1b,colon901
info,ump2b,mcshj901
info,ump3b,sudoe901
info,scorer,"SF"
info,translator,"Comly"
info,inputter,"Comly"
info,inputtime,1996/05/16 9:07PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,133
info,attendance,4133
info,wp,moffr101
info,lp,cosgm101
info,save,
info,gwrbi,
id,SFN197304120
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,HOU
info,hometeam,SFN
info,site,SFO02
info,date,1973/04/12
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,colon901
info,ump1b,mcshj901
info,ump2b,sudoe901
info,ump3b,pelec901
info,scorer,"SF"
info,translator,"Comly"
info,inputter,"Comly"
info,inputtime,1996/05/16 9:37PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,131
info,attendance,3704
info,wp,bradt102
info,lp,forsk001
info,save,
info,gwrbi,
id,SFN197304130
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,CIN
info,hometeam,SFN
info,site,SFO02
info,date,1973/04/13
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,dalej901
info,ump1b,gormt101
info,ump2b,willb901
info,ump3b,steld901
info,scorer,"SF, Cin"
info,translator,"Comly"
info,inputter,"Comly"
