id,ATL199004111
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1990/04/11
info,number,1
info,starttime,05:13
info,daynight,night
info,usedh,false
info,umphome,tatat901
info,ump1b,quicj901
info,ump2b,rennd901
info,ump3b,bonig901
info,scorer,""
info,inputter,"M. Duca"
info,howscored,park
info,pitches,none
info,temp,50
info,winddir,unknown
info,windspeed,-1
info,fieldcond,dry
info,precip,none
info,sky,sunny
info,timeofgame,146
info,attendance,0
info,wp,reusr001
info,lp,glavt001
info,save,
info,gwrbi,
id,ATL199004112
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1990/04/11
info,number,2
info,starttime,08:15
info,daynight,night
info,usedh,false
info,umphome,quicj901
info,ump1b,rennd901
info,ump2b,bonig901
info,ump3b,tatat901
info,scorer,""
info,inputter,"M. Duca"
info,howscored,park
info,pitches,none
info,temp,55
info,winddir,unknown
info,windspeed,-1
info,fieldcond,dry
info,precip,none
info,sky,night
info,timeofgame,170
info,attendance,11082
info,wp,smitp001
info,lp,swanr001
info,save,stanm003
info,gwrbi,
id,ATL199004120
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1990/04/12
info,number,0
info,starttime,04:42
info,daynight,day
info,usedh,false
info,umphome,rennd901
info,ump1b,bonig901
info,ump2b,tatat901
info,ump3b,quicj901
info,scorer,""
info,inputter,"M. Duca"
info,howscored,park
info,pitches,none
info,temp,59
info,winddir,unknown
info,windspeed,-1
info,fieldcond,dry
info,precip,none
info,sky,sunny
info,timeofgame,192
info,attendance,6425
info,wp,lacom001
info,lp,smolj001
info,save,branj001
info,gwrbi,
id,ATL199006080
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1990/06/08
info,number,0
info,starttime,7:42
info,daynight,night
info,usedh,false
info,umphome,wickd901
info,ump1b,pullf901
info,ump2b,hirsm901
info,ump3b,ripps901
info,scorer,"Bill Disney"
info,inputter,"Bill Disney"
info,howscored,tv
info,pitches,pitches
info,temp,93
info,winddir,unknown
info,windspeed,-1
info,fieldcond,dry
info,precip,none
info,sky,night
info,timeofgame,222
info,attendance,32154
info,wp,wilst002
info,lp,lilld001
info,save,thurm001
info,gwrbi,
id,ATL199006090
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1990/06/09
info,number,0
info,starttime,7:06
info,daynight,night
info,usedh,false
info,umphome,pullf901
info,ump1b,hirsm901
info,ump2b,ripps901
info,ump3b,wickd901
info,scorer,"Marc Bowman"
info,inputter,"Marc Bowman"
info,howscored,tv
info,pitches,pitches
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,166
info,attendance,31048
info,wp,leibc001
info,lp,hamma001
info,save,
info,gwrbi,
id,ATL199006100
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1990/06/10
info,number,0
info,starttime,2:14
info,daynight,day
info,usedh,false
info,umphome,hirsm901
info,ump1b,ripps901
info,ump2b,wickd901
info,ump3b,pullf901
info,scorer,"Bill Disney"
info,inputter,"Bill Disney"
info,howscored,tv
info,pitches,pitches
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,dry
info,precip,none
info,sky,sunny
info,timeofgame,176
info,attendance,17448
info,wp,burkj001
info,lp,smitp001
info,save,
info,gwrbi,
id,ATL199006110
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1990/06/11
info,number,0
info,starttime,5:42
info,daynight,night
info,usedh,false
info,umphome,ripps901
info,ump1b,darlg901
info,ump2b,froeb901
info,ump3b,pullf901
info,scorer,"Marc Bowman"
info,inputter,"Marc Bowman"
info,howscored,tv
info,pitches,pitches
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,165
info,attendance,11528
info,wp,garrs001
info,lp,smolj001
info,save,
info,gwrbi,
id,ATL199009190
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1990/09/19
info,number,0
info,starttime,7:41
info,daynight,night
info,usedh,false
info,umphome,marsr901
info,ump1b,wendh901
info,ump2b,westj901
info,ump3b,hirsm901
info,scorer,"Braves"
info,inputter,"Tom Eckel"
info,howscored,park
info,pitches,none
info,temp,82
info,winddir,unknown
info,windspeed,-1
info,fieldcond,dry
info,precip,none
info,sky,night
info,timeofgame,164
info,attendance,3715
info,wp,glavt001
