id,ANA199706140
version,2
info,visteam,SFN
info,hometeam,ANA
info,site,ANA01
info,date,1997/06/14
info,number,0
info,starttime,7:05
info,daynight,night
info,usedh,true
info,umphome,evanj901
info,ump1b,mccol901
info,ump2b,craft901
info,ump3b,meric901
info,translator,""
info,pitches,pitches
info,temp,69
info,winddir,ltor
info,windspeed,3
info,fieldcond,dry
info,precip,none
info,sky,night
info,timeofgame,201
info,attendance,27875
info,wp,roa-j001
info,lp,watsa001
info,save,
id,ANA199706150
version,2
info,visteam,SFN
info,hometeam,ANA
info,site,ANA01
info,date,1997/06/15
info,number,0
info,starttime,1:05
info,daynight,day
info,usedh,true
info,umphome,mccol901
info,ump1b,craft901
info,ump2b,meric901
info,ump3b,evanj901
info,translator,""
info,inputtime,
info,pitches,pitches
info,temp,75
info,winddir,ltor
info,windspeed,7
info,fieldcond,dry
info,precip,none
info,sky,cloudy
info,timeofgame,208
info,attendance,30404
info,wp,vanlb001
info,lp,dickj001
info,save,beckr001
id,ATL199705290
version,2
info,visteam,SFN
info,hometeam,ATL
info,site,ATL02
info,date,1997/05/29
info,number,0
info,starttime,7:40
info,daynight,night
info,usedh,false
info,umphome,hallt901
info,ump1b,monte901
info,ump2b,buckc901
info,ump3b,crawj901
info,translator,""
info,pitches,pitches
info,temp,58
info,winddir,tolf
info,windspeed,10
info,fieldcond,damp
info,precip,drizzle
info,sky,night
info,timeofgame,173
info,attendance,38844
info,wp,estes001
info,lp,smolj001
info,save,beckr001
id,ATL199705300
version,2
info,visteam,SFN
info,hometeam,ATL
info,site,ATL02
info,date,1997/05/30
info,number,0
info,starttime,7:41
info,daynight,night
info,usedh,false
info,umphome,monte901
info,ump1b,buckc901
info,ump2b,crawj901
info,ump3b,hallt901
info,translator,""
info,pitches,pitches
info,temp,67
info,winddir,ltor
info,windspeed,10
info,fieldcond,wet
info,precip,none
info,sky,night
info,timeofgame,194
info,attendance,45181
info,wp,wohlm001
info,lp,henrd002
info,save,
id,ATL199705310
version,2
info,visteam,SFN
info,hometeam,ATL
info,site,ATL02
