id,ARI201304290
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2013/04/29
info,number,0
info,starttime,6:40PM
info,daynight,night
info,usedh,false
info,umphome,scotd901
info,ump1b,millb901
info,ump2b,buckc901
info,ump3b,ticht901
info,howscored,park
info,pitches,pitches
info,temp,99
info,winddir,ltor
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,189
info,attendance,18036
info,wp,machj002
info,lp,ziegb001
info,save,romos001
id,ARI201304300
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2013/04/30
info,number,0
info,starttime,6:40PM
info,daynight,night
info,usedh,false
info,umphome,millb901
info,ump1b,buckc901
info,ump2b,ticht901
info,ump3b,scotd901
info,howscored,park
info,pitches,pitches
info,temp,96
info,winddir,fromlf
info,windspeed,14
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,157
info,attendance,20319
info,wp,rosas001
info,lp,putzj001
info,save,romos001
id,ARI201305010
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2013/05/01
info,number,0
info,starttime,6:40PM
info,daynight,night
info,usedh,false
info,umphome,buckc901
info,ump1b,muchm901
info,ump2b,scotd901
info,ump3b,millb901
info,howscored,park
info,pitches,pitches
info,temp,92
info,winddir,fromlf
info,windspeed,9
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,211
info,attendance,21277
info,wp,kontg001
info,lp,hernd002
info,save,romos001
id,ARI201306070
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2013/06/07
info,number,0
info,starttime,6:40PM
info,daynight,night
info,usedh,false
info,umphome,porta901
info,ump1b,laynj901
info,ump2b,gibsg901
info,ump3b,wendh902
info,howscored,park
info,pitches,pitches
info,temp,83
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,168
info,attendance,37542
info,wp,ziegb001
info,lp,affej001
info,save,bellh001
id,ARI201306080
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2013/06/08
info,number,0
info,starttime,7:10PM
info,daynight,night
info,usedh,false
info,umphome,gibsg901
info,ump1b,wendh902
info,ump2b,rippm901
info,ump3b,porta901
info,howscored,park
info,pitches,pitches
info,temp,82
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,213
info,attendance,44574
info,wp,bumgm001
info,lp,cahit001
info,save,
id,ARI201306090
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2013/06/09
info,number,0
info,starttime,1:10PM
info,daynight,day
info,usedh,false
info,umphome,wendh902
info,ump1b,rippm901
info,ump2b,porta901
info,ump3b,gibsg901
info,howscored,park
info,pitches,pitches
info,temp,77
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,178
info,attendance,38222
info,wp,gaudc001
info,lp,skagt001
info,save,
id,ARI201308300
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2013/08/30
info,number,0
info,starttime,6:40PM
info,daynight,night
info,usedh,false
info,umphome,millb901
info,ump1b,ticht901
info,ump2b,buckc901
info,ump3b,scotd901
info,howscored,park
info,pitches,pitches
info,temp,78
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,165
info,attendance,24380
info,wp,linct001
info,lp,delgr001
info,save,romos001
id,ARI201308310
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2013/08/31
info,number,0
info,starttime,5:10PM
info,daynight,night
info,usedh,false
info,umphome,ticht901
info,ump1b,buckc901
info,ump2b,scotd901
info,ump3b,millb901
info,howscored,park
info,pitches,pitches
info,temp,77
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,190
info,attendance,36091
info,wp,ziegb001
info,lp,rosas001
info,save,
id,ARI201309010
version,2
info,visteam,SFN
info,hometeam,ARI
info,site,PHO01
info,date,2013/09/01
info,number,0
info,starttime,1:10PM
info,daynight,day
info,usedh,false
info,umphome,buckc901
info,ump1b,scotd901
info,ump2b,millb901
info,ump3b,ticht901
info,howscored,park
info,pitches,pitches
info,temp,76
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,202
info,attendance,33422
info,wp,petiy001
info,lp,corbp001
info,save,
id,ATL201306140
version,2
info,visteam,SFN
info,hometeam,ATL
info,site,ATL02
info,date,2013/06/14
info,number,0
info,starttime,7:36PM
info,daynight,night
info,usedh,false
info,umphome,darlg901
info,ump1b,mealj901
info,ump2b,emmep901
info,ump3b,drecb901
info,howscored,park
info,pitches,pitches
info,temp,85
info,winddir,rtol
info,windspeed,3
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,164
info,attendance,45833
info,wp,bumgm001
info,lp,medlk001
info,save,
id,ATL201306150
version,2
info,visteam,SFN
info,hometeam,ATL
info,site,ATL02
info,date,2013/06/15
info,number,0
info,starttime,4:06PM
info,daynight,day
info,usedh,false
info,umphome,mealj901
info,ump1b,emmep901
info,ump2b,drecb901
info,ump3b,darlg901
info,howscored,park
info,pitches,pitches
info,temp,84
info,winddir,rtol
info,windspeed,6
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,190
info,attendance,47178
info,wp,kimbc001
info,lp,romos001
info,save,
id,ATL201306160
version,2
info,visteam,SFN
info,hometeam,ATL
info,site,ATL02
info,date,2013/06/16
info,number,0
info,starttime,8:11PM
info,daynight,night
info,usedh,false
info,umphome,emmep901
info,ump1b,drecb901
info,ump2b,darlg901
info,ump3b,mealj901
info,howscored,park
info,pitches,pitches
info,temp,82
info,winddir,tolf
info,windspeed,6
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,174
info,attendance,33681
info,wp,tehej001
info,lp,linct001
info,save,kimbc001
id,CHN201304110
version,2
info,visteam,SFN
info,hometeam,CHN
info,site,CHI11
info,date,2013/04/11
info,number,0
info,starttime,1:23PM
info,daynight,day
info,usedh,false
info,umphome,danlk901
info,ump1b,barkl901
info,ump2b,carav901
info,ump3b,nelsj901
info,howscored,park
info,pitches,pitches
info,temp,40
info,winddir,fromrf
info,windspeed,5
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,230
info,attendance,25460
info,wp,voger001
info,lp,felds001
info,save,romos001
id,CHN201304120
version,2
info,visteam,SFN
info,hometeam,CHN
info,site,CHI11
info,date,2013/04/12
info,number,0
info,starttime,1:21PM
info,daynight,day
info,usedh,false
info,umphome,barkl901
info,ump1b,carav901
info,ump2b,nelsj901
info,ump3b,danlk901
info,howscored,park
info,pitches,pitches
info,temp,44
info,winddir,torf
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,183
info,attendance,30996
info,wp,fujik001
info,lp,romos001
info,save,
id,CHN201304130
version,2
info,visteam,SFN
info,hometeam,CHN
info,site,CHI11
info,date,2013/04/13
info,number,0
info,starttime,12:06PM
info,daynight,day
info,usedh,false
info,umphome,carav901
info,ump1b,nelsj901
info,ump2b,danlk901
info,ump3b,barkl901
info,howscored,park
info,pitches,pitches
info,temp,38
info,winddir,ltor
info,windspeed,16
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,183
info,attendance,34778
info,wp,bumgm001
info,lp,samaj001
